"condition","signal","effect","effect_label","delta","n","mean","sd","mcse","ci_low","ci_high","median","q1","q3","min","max","ct_greater","equal","dt_greater","both_above_070","ct_only_above_070","dt_only_above_070","neither_above_070"
"Weak_0_5","Weak",0.3,"Weak (0.30)",0.5,500,0.804940902894115,0.148154055300933,0.00662565077590297,0.791923292080278,0.817958513707952,0.830079025915792,0.757850332904147,0.900589821087562,-0.0481434058898848,1.01732821169441,0.998,0,0.002,0,0.88,0,0.12
"Weak_1_0","Weak",0.3,"Weak (0.30)",1,500,0.719248768240187,0.191267027760904,0.00855372151855442,0.702443020170359,0.736054516310015,0.745792303931839,0.606803489733706,0.880565011835719,0.0487026749659772,1.00660223142726,1,0,0,0.012,0.956,0,0.032
"Weak_5_0","Weak",0.3,"Weak (0.30)",5,500,0.204802462900934,0.277339050585111,0.0124029793984712,0.180433964740943,0.229170961060925,0.205548663852216,0.00525691020849026,0.415603607479976,-0.670419440107121,0.900865998176846,0.758,0.036,0.206,0.152,0.412,0.062,0.374
"Mid_0_5","Mid",0.6,"Moderate (0.60)",0.5,500,0.250602540348728,0.200463753580452,0.00896501160061313,0.232988718566458,0.268216362130998,0.218025057003554,0.0956289348239449,0.437037037037037,-0.327994514240933,0.87109791824302,0.886,0.078,0.036,0.574,0.412,0.006,0.008
"Mid_1_0","Mid",0.6,"Moderate (0.60)",1,500,0.0349781531341034,0.118080535779739,0.00528072209646183,0.0246029632255467,0.04535334304266,0,0,0.0380043982208131,-0.534573199809251,0.497437592990577,0.272,0.626,0.102,0.93,0.062,0.008,0
"Mid_5_0","Mid",0.6,"Moderate (0.60)",5,500,-0.131076053446979,0.266778874008397,0.0119307139448726,-0.154516677789937,-0.107635429104021,-0.0504372986124811,-0.386599738424556,0,-0.891730132311158,0.543058636346868,0.208,0.222,0.57,0.506,0.086,0.314,0.094
"Large_0_5","Large",0.9,"Large (0.90)",0.5,500,0.00604572831986445,0.123182655164286,0.0055088958119252,-0.00477776119371399,0.0168692178334429,0,0,0,-0.60756731410846,0.528692156693658,0.236,0.622,0.142,0.934,0.032,0.034,0
"Large_1_0","Large",0.9,"Large (0.90)",1,500,-0.00580408318265093,0.13093407727673,0.00585554994723956,-0.0173086542643889,0.00570048789908705,0,0,0,-0.554293205156216,0.437037037037037,0.114,0.708,0.178,0.904,0.04,0.042,0.014
"Large_5_0","Large",0.9,"Large (0.90)",5,500,-0.196498146335174,0.286468011153601,0.0128112389263724,-0.221668763988783,-0.171327528681565,-0.143025617506388,-0.437037037037037,0,-0.975278363663119,0.519238615214358,0.128,0.208,0.664,0.482,0.066,0.39,0.062
